P_Small_3.png,Control_3 (Big).png,NA,NA,Comparison,NA,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27                                                                                                                                    751,734,706,691,669,651,608,591,557,545,539,535,529,528,528,531,533,534,533,531,531,530,529,528,524,517,510,509,508,505,504,504,503,503,502,502,502,501,501,500,500,,,,,,,,,,,,,,,,,
P_Small_3.png,Control_3 (Big).png,NA,NA,Sequence,NA,28                                                                                                                                                                                                                                                                                                                                           NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28                                                                                                                                                                                                                                                                                                                                           NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Control_3.png,Control_3 (Big).png,NA,NA,Start Button,NA,29                                                                                                                                                                                                                                                                                                                                           NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29                                                                                                                                                                                                                                                                                                                                           NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Control_3.png,Control_3 (Big).png,NA,NA,Mask,NA,30                                                                                                                                                                                                                                                                                                                                           NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30                                                                                                                                                                                                                                                                                                                                           NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Control_3.png,Control_3 (Big).png,NA,NA,Comparison,NA,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31                                                                                                                                                                            732,710,697,663,648,629,604,599,591,583,573,566,563,558,553,547,540,534,528,523,517,514,511,508,507,506,503,502,501,501,500,500,500,,,,,,,,,,,,,,,,,,,,,,,,,
Control_3.png,Control_3 (Big).png,NA,NA,Sequence,NA,32                                                                                                                                                                                                                                                                                                                                           NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32                                                                                                                                                                                                                                                                                                                                           NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P_Small_3.png,P_Large_3.png,NA,NA,Start Button,NA,33                                                                                                                                                                                                                                                                                                                                           NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33                                                                                                                                                                                                                                                                                                                                           NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P_Small_3.png,P_Large_3.png,NA,NA,Mask,NA,34                                                                                                                                                                                                                                                                                                                                           NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34                                                                                                                                                                                                                                                                                                                                           NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P_Small_3.png,P_Large_3.png,NA,NA,Comparison,NA,35                                                                                                                          745,741,727,715,706,697,692,695,703,725,739,772,799,859,896,908,919,923,928,929,930,931,934,938,939,940,941,942,942,940,940,939,941,943,944,945,948,950,952,951,951,951,951,,,,,,,,,,,,,,,,,,,,,,,,,35                                                                                                                          745,738,711,693,673,661,646,626,613,580,565,549,534,512,501,498,494,493,492,492,492,492,491,491,491,492,493,494,500,505,507,508,508,508,508,508,505,503,501,501,500,499,498,,,,,,,,,,,,,,,
P_Small_3.png,P_Large_3.png,NA,NA,Sequence,NA,36                                                                                                                                                                                                                                                                                                                                           NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36                                                                                                                                                                                                                                                                                                                                           NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P_Small_3.png,Control_3 (Small).png,NA,NA,Start Button,NA,37                                                                                                                                                                                                                                                                                                                                           NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37                                                                                                                                                                                                                                                                                                                                           NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P_Small_3.png,Control_3 (Small).png,NA,NA,Mask,NA,38                                                                                                                                                                                                                                                                                                                                           NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38                                                                                                                                                                                                                                                                                                                                           NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P_Small_3.png,Control_3 (Small).png,NA,NA,Comparison,NA,39                                                    746,741,737,722,709,704,702,706,712,722,751,791,809,844,868,883,891,897,899,901,903,904,904,897,861,834,792,732,701,669,643,628,619,613,598,593,591,588,586,583,579,575,573,571,570,569,568,566,564,562,560,557,556,555,554,554,554,,,,,,,,,,,39                                                    747,739,714,685,663,650,640,622,610,599,575,559,554,546,540,536,533,531,529,527,524,524,523,521,520,522,523,525,527,531,532,529,526,523,518,516,514,513,511,509,507,506,506,506,506,506,506,506,505,504,504,503,503,503,503,502,501,
P_Small_3.png,Control_3 (Small).png,NA,NA,Sequence,NA,40                                                                                                                                                                                                                                                                                                                                           NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40                                                                                                                                                                                                                                                                                                                                           NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Control_3.png,P_Small_3.png,NA,NA,Start Button,NA,41                                                                                                                                                                                                                                                                                                                                           NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41                                                                                                                                                                                                                                                                                                                                           NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Control_3.png,P_Small_3.png,NA,NA,Mask,NA,42                                                                                                                                                                                                                                                                                                                                           NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42                                                                                                                                                                                                                                                                                                                                           NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Control_3.png,P_Small_3.png,NA,NA,Comparison,NA,43            754,767,776,788,819,831,841,847,853,856,859,861,862,861,848,834,816,794,773,759,745,732,725,718,706,699,695,694,696,714,734,790,825,858,889,902,907,910,911,910,909,889,859,822,776,706,665,645,632,616,608,598,586,580,575,568,563,559,554,551,549,548,548,548,548,,,43            731,703,687,668,633,622,608,598,590,585,583,580,579,578,571,560,548,536,525,518,511,505,500,496,490,489,489,489,489,486,485,487,489,490,492,492,493,494,495,496,497,499,497,492,486,482,485,487,487,487,487,487,489,491,491,493,494,495
Control_3.png,P_Small_3.png,NA,NA,Sequence,NA,44                                                                                                                                                                                                                                                                                                                                           NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44                                                                                                                                                                                                                                                                                                                                           NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Control_3.png,P_Large_3.png,NA,NA,Start Button,NA,45                                                                                                                                                                                                                                                                                                                                           NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45                                                                                                                                                                                                                                                                                                                                           NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Control_3.png,P_Large_3.png,NA,NA,Mask,NA,46                                                                                                                                                                                                                                                                                                                                           NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46                                                                                                                                                                                                                                                                                                                                           NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Control_3.png,P_Large_3.png,NA,NA,Comparison,NA,47                                                                                                                                                                       749,751,760,766,785,804,829,859,876,900,913,922,926,931,935,938,945,949,951,953,955,956,960,961,961,961,959,957,955,954,954,954,954,954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47                                                                                                                                                                       742,729,696,678,649,620,582,552,537,510,502,498,496,492,491,490,489,487,487,487,486,486,484,484,486,490,496,501,504,506,507,506,505,500,,,,,,,,,,,,,,,,,,,,,,,,
Control_3.png,P_Large_3.png,NA,NA,Sequence,NA,48                                                                                                                                                                                                                                                                                                                                           NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48                                                                                                                                                                                                                                                                                                                                           NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Control_3.png,Control_3 (Small).png,NA,NA,Start Button,NA,49                                                                                                                                                                                                                                                                                                                                           NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49                                                                                                                                                                                                                                                                                                                                           NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Control_3.png,Control_3 (Small).png,NA,NA,Mask,NA,50                                                                                                                                                                                                                                                                                                                                           NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50                                                                                                                                                                                                                                                                                                                                           NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Control_3.png,Control_3 (Small).png,NA,NA,Comparison,NA,51                                                                                                                                    741,741,743,749,754,756,756,755,752,748,730,705,690,657,644,634,617,609,602,598,594,591,589,586,584,583,581,577,574,571,567,564,561,559,556,554,550,547,546,545,544,,,,,,,,,,,,,,,,,,,,,,,,,,,51                                                                                                                                    746,740,732,686,664,649,642,638,634,629,612,597,590,578,573,564,549,542,538,535,531,527,523,517,513,512,510,506,504,503,500,499,499,499,498,498,498,500,500,501,501,,,,,,,,,,,,,,,,,
Control_3.png,Control_3 (Small).png,NA,NA,Sequence,NA,52                                                                                                                                                                                                                                                                                                                                           NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52                                                                                                                                                                                                                                                                                                                                           NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P_Large_3.png,Control_3.png,NA,NA,Start Button,NA,53                                                                                                                                                                                                                                                                                                                                           NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53                                                                                                                                                                                                                                                                                                                                           NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P_Large_3.png,Control_3.png,NA,NA,Mask,NA,54                                                                                                                                                                                                                                                                                                                                           NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54                                                                                                                                                                                                                                                                                                                                           NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P_Large_3.png,Control_3.png,NA,NA,Comparison,NA,55                                                                                                 737,732,717,689,677,656,646,640,636,623,614,603,595,589,585,583,577,573,566,560,555,550,548,543,539,538,536,536,537,547,551,555,557,560,561,562,563,563,563,563,561,558,557,554,553,552,551,551,,,,,,,,,,,,,,,,,,,,55                                                                                                 738,733,720,690,669,649,639,630,626,618,610,601,591,582,578,577,573,571,567,559,550,541,537,532,529,528,522,516,508,494,488,484,482,480,480,480,481,482,483,486,490,493,495,498,499,500,500,501,,,,,,,,,,
P_Large_3.png,Control_3.png,NA,NA,Sequence,NA,56                                                                                                                                                                                                                                                                                                                                           NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56                                                                                                                                                                                                                                                                                                                                           NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P_Small_3.png,Control_3.png,NA,NA,Start Button,NA,57                                                                                                                                                                                                                                                                                                                                           NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57                                                                                                                                                                                                                                                                                                                                           NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
